Category,State/UT,Number of Convicts Admitted During the year,Number of Habitual Offenders,year,Agriculture,Carpentry,Canning,Tailoring,Weaving,Making of Soap & Phenyl,Handloom,Others,No. of prisoners to whom financial assistance provided on release,No. of convicts rehabilitated,No. of prisoners to whom legal aid provided,Wages paid per day to convicts (in Rs.) - Skilled,Wages paid per day to convicts (in Rs.) - Semi Skilled,Wages paid per day to convicts (in Rs.) - Unskilled,16 - 18 Years - Male,16 - 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30 - 50 Years - Male,30 - 50 Years - Female,50 Years & Above - Male,50 Years & Above - Female,State/UT_Mapped
State,Gujarat,4640,1,2016,956,932,488,95,0,0,0,1800,152,65,1588,42.0,36.0,30.0,0,0,1748,66,1598,106,699,37,7
State,Haryana,5704,80,2016,0,238,0,0,0,0,0,4143,0,80,4667,60.0,50.0,40.0,0,0,2948,60,3097,156,879,66,8
State,Himachal Pradesh,643,4,2016,36,9,8,0,0,0,0,180,6,10,459,0.0,0.0,200.0,0,0,207,1,459,18,144,10,9
State,Jharkhand,3408,306,2016,225,210,59,20,165,69,0,2549,0,34,1489,144.0,113.0,91.0,0,0,48,5,177,5,39,3,10
State,Karnataka,31634,8,2016,0,0,68,0,41,0,0,555,103,248,251,90.0,80.0,70.0,0,0,1057,32,2272,104,887,34,11
State,Kerala,7034,234,2016,99,126,118,80,112,13,0,1491,0,0,2389,132.0,110.0,55.0,0,0,1986,94,1806,104,105,8,12
State,Madhya Pradesh,13393,60,2016,689,461,344,1348,133,531,91,1729,0,0,2527,110.0,0.0,62.0,0,0,664,4,1492,45,601,15,13
State,Maharashtra,17376,218,2016,0,37,60,0,0,0,0,666,40,0,1986,55.0,50.0,40.0,0,0,6647,163,7605,343,1962,104,14
State,Manipur,25,0,2016,0,0,0,0,0,0,0,50,0,0,310,12.0,10.0,8.0,0,0,2350,74,4140,203,1731,82,15
State,Meghalaya,70,0,2016,0,0,0,0,0,0,0,0,197,0,291,133.0,126.0,119.0,0,0,5,0,23,1,16,0,16
State,Mizoram,1511,166,2016,7,18,57,0,0,21,0,31,26,38,1137,15.0,12.0,10.0,0,0,17,0,52,0,14,0,17
State,Nagaland,165,5,2016,0,2,0,0,0,0,0,46,0,0,80,135.0,125.0,115.0,0,0,307,23,193,25,17,0,18
State,Odisha,2926,59,2016,0,0,0,0,0,0,0,92,20,0,448,40.0,40.0,40.0,0,0,46,0,32,1,5,0,19
State,Punjab,9389,198,2016,948,132,300,299,303,0,0,2612,0,6,4252,60.0,50.0,40.0,0,0,1435,27,1379,62,596,26,20
State,Rajasthan,8630,149,2016,0,56,0,0,0,0,0,1788,0,11,1567,150.0,0.0,130.0,0,0,3671,135,4187,271,1514,112,21
State,Sikkim,100,9,2016,0,2,14,10,0,0,17,20,0,0,684,40.0,30.0,30.0,0,0,1575,40,2907,120,655,30,22
State,Tamil Nadu,3921,58,2016,141,46,15,38,0,0,0,1472,10,528,5086,100.0,80.0,60.0,0,0,36,0,72,1,19,0,23
State,Telangana,10006,263,2016,79,148,0,24,12,0,0,644,1,114,524,100.0,50.0,30.0,0,0,1310,11,2932,118,795,42,24
State,Tripura,1527,59,2016,4,14,0,147,0,0,27,16,0,0,81,33.0,28.0,24.0,0,0,371,20,1140,110,316,34,25
State,Uttar Pradesh,31384,1279,2016,44,106,71,25,105,0,0,6152,395,11,3240,40.0,30.0,25.0,0,0,152,5,283,10,82,5,26
State,Uttarakhand,2946,48,2016,0,0,0,25,0,0,0,360,32,0,565,45.0,35.0,30.0,0,0,5525,151,12840,518,7206,384,27
State,West Bengal,14755,1145,2016,58,166,16,0,17,0,0,1034,333,33,5667,35.0,30.0,26.0,0,0,304,6,981,48,590,36,28
UT,Chandigarh,365,12,2016,0,76,218,0,0,0,79,285,0,0,374,60.0,50.0,40.0,0,0,13,0,30,2,9,0,30
UT,Delhi,7481,781,2016,306,25,374,0,0,0,0,5975,0,42,47091,361.0,328.0,297.0,0,0,0,0,0,0,0,0,31
UT,Lakshadweep,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,32
UT,Puducherry,139,5,2016,8,3,0,0,0,0,0,53,2,17,86,180.0,160.0,150.0,0,0,6,1,49,0,10,0,33
State,Andhra Pradesh,11732,219,2017,0,0,0,222,0,44,0,1128,0,0,1476,70.0,50.0,30.0,0,0,872,49,1362,84,337,31,1
State,Arunachal Pradesh,46,0,2017,0,0,0,0,0,0,0,90,0,0,76,75.0,0.0,55.0,0,0,38,0,38,2,7,0,2
State,Assam,2263,119,2017,0,36,560,56,85,0,0,989,0,0,0,100.0,80.0,0.0,0,0,717,29,1612,43,751,32,3
State,Bihar,6599,193,2017,492,6,0,505,50,19,0,2903,13,22,1994,156.0,112.0,103.0,0,0,1256,50,3229,136,1471,53,4
State,Chhattisgarh,5204,26,2017,133,239,0,309,541,39,0,1638,672,0,5322,75.0,0.0,60.0,0,0,3106,160,3710,215,1199,88,5
State,Goa,33,10,2017,0,0,0,0,0,0,0,29,0,38,70,80.0,60.0,50.0,0,0,38,2,81,8,21,4,6
State,Gujarat,4311,0,2017,8,950,0,40,1211,0,0,1542,135,66,2891,100.0,80.0,70.0,0,0,1774,61,1719,108,581,35,7
State,Haryana,5093,107,2017,0,32,0,35,0,0,0,2088,0,70,3019,60.0,50.0,40.0,0,0,2799,57,3557,154,780,75,8
State,Himachal Pradesh,662,4,2017,20,6,0,15,9,0,0,251,0,0,455,0.0,0.0,210.0,0,0,179,4,500,14,163,13,9
State,Jharkhand,4798,313,2017,0,35,0,42,50,65,60,1989,0,0,1587,144.0,113.0,91.0,0,0,44,0,125,3,49,7,10
State,Karnataka,32464,8,2017,0,61,0,26,11,48,0,567,97,211,337,225.0,200.0,175.0,0,0,1132,48,2177,118,1101,43,11
State,Kerala,6555,537,2017,30,20,0,20,30,110,0,1848,0,0,6795,132.0,110.0,55.0,0,0,1991,98,1809,106,107,7,12
State,Madhya Pradesh,13524,14,2017,402,291,42,293,757,5,165,950,0,0,3872,110.0,0.0,62.0,0,0,716,1,1410,35,693,18,13
State,Maharashtra,12976,0,2017,63,475,0,437,0,14,30,1966,32,0,6693,61.0,55.0,45.0,0,0,6530,167,7747,366,2328,116,14
State,Manipur,50,0,2017,0,0,0,15,0,5,0,52,0,0,564,12.0,10.0,8.0,0,0,2414,83,4292,225,1873,78,15
State,Meghalaya,53,7,2017,0,27,0,0,0,0,0,4,136,0,680,133.0,126.0,119.0,0,0,10,0,29,2,20,0,16
State,Mizoram,1923,153,2017,0,43,0,15,5,0,23,10,18,54,1201,15.0,12.0,10.0,0,0,26,0,59,0,13,0,17
State,Nagaland,190,6,2017,0,0,0,52,0,15,0,154,0,0,56,135.0,125.0,115.0,0,0,313,2,241,7,15,0,18
State,Odisha,2216,24,2017,0,0,0,0,0,0,0,0,128,44,452,40.0,40.0,40.0,0,0,56,0,58,1,6,0,19
State,Punjab,9476,985,2017,921,204,0,171,490,31,96,1454,0,239,4722,60.0,50.0,40.0,0,0,1117,22,1822,67,602,34,20
State,Rajasthan,7228,16,2017,0,0,0,44,494,0,0,674,0,67,1618,150.0,0.0,130.0,0,0,3414,140,4501,239,1368,101,21
State,Sikkim,109,0,2017,30,12,16,3,0,0,0,66,0,0,681,40.0,30.0,30.0,0,0,1569,67,2871,81,896,36,22
State,Tamil Nadu,2789,98,2017,0,0,0,20,159,3,0,926,10,152,4535,100.0,80.0,60.0,0,0,40,2,87,1,30,1,23
State,Telangana,13153,269,2017,36,84,0,172,81,76,0,430,9,47,455,100.0,50.0,30.0,0,0,1501,28,2672,91,829,51,24
State,Tripura,819,7,2017,145,0,37,20,20,0,0,56,0,0,156,33.0,28.0,24.0,0,0,638,55,1005,74,245,29,25
State,Uttar Pradesh,27351,1290,2017,100,0,0,19,20,15,0,3054,235,0,4575,40.0,30.0,25.0,0,0,156,0,311,20,69,3,26
State,Uttarakhand,3131,42,2017,85,20,0,15,15,0,0,396,68,0,1334,45.0,35.0,30.0,0,0,5890,163,13194,458,7265,380,27
State,West Bengal,16800,991,2017,31,24,0,201,61,6,0,790,182,56,3063,100.0,90.0,80.0,0,0,516,18,965,53,536,31,28
UT,Chandigarh,338,0,2017,69,38,10,29,0,0,0,241,0,0,532,80.0,70.0,60.0,0,0,8,1,36,3,11,0,30
UT,Delhi,5464,1135,2017,0,208,0,458,190,0,0,6100,0,26,42750,361.0,328.0,297.0,0,0,0,0,0,0,0,0,31
UT,Lakshadweep,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,32
UT,Puducherry,198,5,2017,0,0,0,8,15,0,0,80,10,14,60,180.0,160.0,150.0,0,0,6,0,61,1,11,0,33
State,Andhra Pradesh,15057,240,2019,120,17,0,103,1091,119,0,1890,0,0,1357,70.0,50.0,30.0,0,0,948,38,1382,95,288,34,1
State,Arunachal Pradesh,76,0,2019,10,0,0,0,0,0,0,21,0,0,166,75.0,0.0,55.0,0,0,66,0,62,3,10,0,2
State,Assam,2456,105,2019,0,75,750,86,105,0,0,652,232,15,3153,100.0,80.0,0.0,4,1,562,21,1754,25,650,13,3
State,Bihar,5660,68,2019,0,62,0,371,0,47,0,1781,2,6,3537,156.0,112.0,103.0,0,0,2007,74,4366,180,1792,94,4
State,Chhattisgarh,3857,12,2019,0,222,0,343,465,25,0,798,0,0,13627,75.0,0.0,60.0,0,0,3172,89,3688,230,992,85,5
State,Goa,145,0,2019,10,0,0,0,0,0,0,28,0,130,84,80.0,60.0,50.0,0,0,43,0,71,10,15,0,6
State,Gujarat,5766,0,2019,97,0,0,166,0,0,0,2565,0,0,3695,100.0,80.0,70.0,0,0,1820,51,1783,104,763,30,7
State,Haryana,5400,124,2019,0,40,0,40,0,0,0,1095,0,5,6273,60.0,50.0,40.0,0,0,2902,46,3280,132,805,59,8
State,Himachal Pradesh,853,0,2019,42,4,0,3,7,0,6,199,0,0,280,0.0,0.0,250.0,0,0,137,1,532,18,192,13,9
State,Jharkhand,4174,220,2019,422,21,0,171,242,100,158,1187,0,0,5412,144.0,113.0,91.0,0,0,37,0,119,3,34,5,10
State,Karnataka,3698,124,2019,20,57,0,143,26,6,0,2079,62,434,5789,225.0,200.0,175.0,0,0,1810,57,2775,129,1025,71,11
State,Kerala,5431,421,2019,18,0,0,0,0,145,0,1111,18,0,15216,152.0,127.0,63.0,0,0,1395,71,1887,95,485,53,12
State,Madhya Pradesh,13802,29,2019,241,338,110,355,813,0,342,1200,0,0,6188,120.0,0.0,72.0,0,0,652,6,1479,38,928,23,13
